professor_name,department,overall_score,num_ratings,feedback_take_again,tags,review_text,source_link
Steven Goad,Professor in the Accounting department at University of Texas at Tyler,3/5,Overall Quality Based on 2 ratings,50%Would take again4Level of Difficulty,"Get ready to read, Caring, Accessible outside class","ACCT2302 | Apr 27th, 2023 | Quality | 5.0 | Difficulty | 4.0 | ACCT2302 | Apr 27th, 2023 | For Credit | : | Yes | Attendance | : | Not Mandatory | Would Take Again | : | Yes | Grade | : | B- | Textbook | : | Yes | Online Class | : | Yes | Although the class was difficult and there were no live lectures the course was filled with useful information. I had a hard semester and he helped inspire me to finish the course and made it possible to pass the class. | Caring | Accessible outside class | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/2621042
Steven Goad,Professor in the Accounting department at University of Texas at Tyler,3/5,Overall Quality Based on 2 ratings,50%Would take again4Level of Difficulty,"Get ready to read, Caring, Accessible outside class","ACCT2302 | Apr 2nd, 2021 | Quality | 1.0 | Difficulty | 4.0 | ACCT2302 | Apr 2nd, 2021 | For Credit | : | Yes | Would Take Again | : | No | Grade | : | A | Textbook | : | Yes | Online Class | : | Yes | It was my worst online class experience. He puts no effort into the class. I took it online and he provided zero material (no lectures, zoom meetings, practice problems, study guides). We just had to read the textbook and ppts that were made by Cengage. Tests were proctored and barely anyone passed, so would give huge curves every single time. | Get ready to read | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/2621042
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","SPCM1315 | Apr 24th, 2024 | Quality | 5.0 | Difficulty | 4.0 | SPCM1315 | Apr 24th, 2024 | For Credit | : | Yes | Attendance | : | Mandatory | Would Take Again | : | Yes | Grade | : | B+ | Textbook | : | N/A | His lectures will put you to sleep. I wouldn't recommend his night classes. The class is hard only because you have maybe 5 assignments in the semester, and each are heavily graded. He has a dry sense of humor and will hit you with some funny remarks. Again, his lectures are BORING. You'll get through the class based on who you have in there. | Tough grader | Participation matters | Graded by few things | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","COMM5329 | Apr 21st, 2024 | Quality | 1.0 | Difficulty | 5.0 | COMM5329 | Apr 21st, 2024 | For Credit | : | Yes | Attendance | : | Not Mandatory | Grade | : | Rather not say | Textbook | : | N/A | Online Class | : | Yes | Dr. Cali was awful, his instructions were so unclear, he never answered emails & his assignments made zero sense. His grading system is out of date, he gives you zero's for completed assignments. I would NEVER recommend taking this class with him unless you want to fail. His responses are so rude & passive aggressive (when he actually does answer.) | Tough grader | Get ready to read | Group projects | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","MCOM2307 | Apr 30th, 2023 | Quality | 1.0 | Difficulty | 3.0 | MCOM2307 | Apr 30th, 2023 | For Credit | : | Yes | Attendance | : | Not Mandatory | Grade | : | A- | Textbook | : | Yes | Online Class | : | Yes | This professor has one of the strangest grading systems I have ever seen. His syllabus is also very out of date. He often will take weeks to grade some assignments in the middle of the semester even though he has TAs who grade for him, and never gives clear instructions. NEVER take MCOM with this professor!!! | Tough grader | So many papers | Graded by few things | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","MCOM2307 | Apr 20th, 2023 | Quality | 2.0 | Difficulty | 4.0 | MCOM2307 | Apr 20th, 2023 | For Credit | : | Yes | Attendance | : | Not Mandatory | Grade | : | A | Textbook | : | Yes | To anyone wanting to take MCOM 2307, I recommend not taking it with Dr. Cali. His course can be unclear of what his expectations are (i.e. rubrics not posted when he says they are, etc.) and he has been passive aggressive in his responses to students. Dr. Cali is respectable, however, he tends to lack compassion.
Thank you. | Tough grader | Participation matters | Graded by few things | Helpful | 1 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","MCOM2307 | Apr 20th, 2023 | Quality | 1.0 | Difficulty | 5.0 | MCOM2307 | Apr 20th, 2023 | For Credit | : | Yes | Attendance | : | Not Mandatory | Grade | : | A | Textbook | : | Yes | Online Class | : | Yes | Dr. Cali is not a good professor. In our online asynchronous course, he consisted forgot to upload assignments and rubrics. The syllabus was also out of date, which made it difficult to understand what was happening in class. I would never recommend this professor to any other student. He did a terrible job with this class. | Tough grader | Get ready to read | Graded by few things | Helpful | 1 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","SPCM1315 | Feb 21st, 2023 | Quality | 1.0 | Difficulty | 3.0 | SPCM1315 | Feb 21st, 2023 | For Credit: | Yes | Attendance: | Mandatory | Grade: | A+ | Textbook: | Yes | I would advise against choosing Dennis as your instructor. His teaching style lacks clarity, and he tends to be inconsistent in his feedback. One day he may praise your work, while the next day he may contradict himself. | Helpful | 1 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","SPCM1315 | May 31st, 2020 | Quality | 3.0 | Difficulty | 4.0 | SPCM1315 | May 31st, 2020 | For Credit: | Yes | Attendance: | Mandatory | Would Take Again: | No | Grade: | B- | Textbook: | Yes | For group projects, the professor commented that everybody lacked an introduction, even though everybody did it, and when I talked to him, he basically refused to change the grade and told me to be grateful. During finals, he gave us 12 questions and 15 minutes (not enough time); the avg. grade was 49. We complained and he finally changed it. | Graded by few things | Test heavy | Tough grader | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","COMM5329 | Jan 31st, 2018 | Quality | 5.0 | Difficulty | 5.0 | COMM5329 | Jan 31st, 2018 | For Credit: | Yes | Attendance: | Mandatory | Would Take Again: | Yes | Grade: | A | Textbook: | Yes | I've enjoyed every Dr. Class I've taken. He classes may seem hard at first, but in the end, they're actually a lot of fun. | Gives good feedback | Inspirational | ACCESSIBLE OUTSIDE CLASS | Helpful | 1 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","COMM5329 | Oct 27th, 2017 | Quality | 5.0 | Difficulty | 5.0 | COMM5329 | Oct 27th, 2017 | For Credit: | Yes | Attendance: | Mandatory | Would Take Again: | Yes | Grade: | A- | Textbook: | Yes | I recommend anyone who is interested in studying media, in any capacity, take Dr. Cali's Media Ecology class. He wrote the textbook so it's vital that you read and reread the book. As long as you stay up to date with the reading assignments and think critically about the text you'll be fine! | Gives good feedback | Inspirational | GROUP PROJECTS | Helpful | 1 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","COMM5329 | Sep 29th, 2017 | Quality | 5.0 | Difficulty | 4.0 | COMM5329 | Sep 29th, 2017 | For Credit: | Yes | Attendance: | Mandatory | Would Take Again: | Yes | Grade: | B+ | Textbook: | Yes | I very much enjoyed taking Dr. Cali's class. He is very passionate about Media Ecology which leads to spirited class discussion. He has been my favorite professor throughout my five years in undergrad. There is a lot of reading in his class so get ready. | Respected | Get ready to read | ACCESSIBLE OUTSIDE CLASS | Helpful | 2 | 0",https://www.ratemyprofessors.com/professor/1443356
Dennis Cali,Professor in the Journalism department at University of Texas at Tyler,3.1/5,Overall Quality Based on 11 ratings,40%Would take again4.2Level of Difficulty,"Tough grader, Graded by few things, Get ready to read, Participation matters, Group projects","COMM5329 | May 4th, 2012 | Quality | 5.0 | Difficulty | 4.0 | COMM5329 | May 4th, 2012 | Textbook: | Yes | Always a pleasure to have Dr. Cali. He facilitates deep discussions between students which helps us gain a better understanding of the material and really make it our own. I really enjoy this class and having him as a professor. | Helpful | 2 | 0",https://www.ratemyprofessors.com/professor/1443356
Christy Grave,Professor in the Mathematics department at University of Texas at Tyler,2.5/5,Overall Quality Based on 5 ratings,0%Would take again4.8Level of Difficulty,"Tough grader, Lots of homework, Participation matters, Tests are tough, Amazing lectures","2312 | Apr 13th, 2023 | Quality | 1.0 | Difficulty | 4.0 | 2312 | Apr 13th, 2023 | For Credit | : | Yes | Attendance | : | Not Mandatory | Grade | : | B- | Textbook | : | Yes | Rather than teaching in class, she expects you to know concepts prior to showing up.  A couple of problems will be shown on each topic but it will never cover all the different types of questions that will be asked (how to do it if it is a negative, how to do it if there's an extra value, etc.) so this makes it extremely tough during the future. | Participation matters | Lots of homework | Test heavy | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/1390550
Christy Grave,Professor in the Mathematics department at University of Texas at Tyler,2.5/5,Overall Quality Based on 5 ratings,0%Would take again4.8Level of Difficulty,"Tough grader, Lots of homework, Participation matters, Tests are tough, Amazing lectures","2413 | Oct 8th, 2015 | Quality | 1.0 | Difficulty | 5.0 | 2413 | Oct 8th, 2015 | For Credit | : | Yes | Attendance | : | Not Mandatory | Grade | : | Not sure yet | Textbook | : | No | You get absolutely no feedback from this professor. You are given homework assignments that are only graded for completion so you never know if what you are doing is correct. She is very enthusiastic and intelligent, but not a good teacher. It is a fast paced class so it will be hard, but I feel the success of her students is not her priority. | Helpful | 1 | 0",https://www.ratemyprofessors.com/professor/1390550
Christy Grave,Professor in the Mathematics department at University of Texas at Tyler,2.5/5,Overall Quality Based on 5 ratings,0%Would take again4.8Level of Difficulty,"Tough grader, Lots of homework, Participation matters, Tests are tough, Amazing lectures","CALCULUSII | Sep 17th, 2015 | Quality | 4.5 | Difficulty | 5.0 | CALCULUSII | Sep 17th, 2015 | For Credit | : | Yes | Attendance | : | Mandatory | Textbook | : | Yes | One of the best math teachers I've ever had. However, she's extremely hard. You have to do the homework and then some. Expect to be challenged. Homework and notes are hard, but her tests are usually pretty fair. If you like a challenge and really want to learn the material, she's the perfect teacher. | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/1390550
Christy Grave,Professor in the Mathematics department at University of Texas at Tyler,2.5/5,Overall Quality Based on 5 ratings,0%Would take again4.8Level of Difficulty,"Tough grader, Lots of homework, Participation matters, Tests are tough, Amazing lectures","2312 | Dec 1st, 2013 | Quality | 1.5 | Difficulty | 5.0 | 2312 | Dec 1st, 2013 | Grade | : | Not_Sure_Yet | Textbook | : | No | Christy Graves doesn't teach what she expects you to know for homework and the tests. You go into class and she teaches from the start of class to the end of class, thats expected.  I would leave the classroom very happy thinking, wow, I know this stuff, but when I got home and looked at the homework, I would have no clue and have no notes over it. | Helpful | 1 | 0",https://www.ratemyprofessors.com/professor/1390550
Christy Grave,Professor in the Mathematics department at University of Texas at Tyler,2.5/5,Overall Quality Based on 5 ratings,0%Would take again4.8Level of Difficulty,"Tough grader, Lots of homework, Participation matters, Tests are tough, Amazing lectures","MATH3404 | Jan 8th, 2010 | Quality | 4.5 | Difficulty | 5.0 | MATH3404 | Jan 8th, 2010 | Textbook | : | Yes | Took her for Calc III. She is an excellent teacher. She's really good at bringing it down to our level. However, she is tough, thorough, but her tests are ver fair for those who study. She has zero tolerence or sympathy for slackers (nor should she), so if you don't put in some serious time and effort, you WILL fail. Lots of HW (15 problem a night) | Helpful | 0 | 0",https://www.ratemyprofessors.com/professor/1390550
